Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
Trinity College,"300 Summit St, Hartford CT 06106",41.745167,-72.69263,"300 SUMMIT ST, HARTFORD, CT, 06106",Exact,US Census
Capital Community College,950 Main St Hartford CT 06103,41.76804,-72.673065,"950 MAIN ST, HARTFORD, CT, 06103",Exact,US Census
University of Hartford,"200 Bloomfield Ave, West Hartford CT 06117",41.794655,-72.71764,"200 BLOOMFIELD AVE, WEST HARTFORD, CT, 06117",Exact,US Census
Charter Oak State College,"55 Manafort Drive, New Britain CT 06053",41.6882077,-72.7679453,"55 Paul Manafort Senior Dr, New Britain, CT 06053, USA",Match,Google
Hartford Seminary,"77 Sherman St, Hartford CT 06105",41.769394,-72.70706,"77 SHERMAN ST, HARTFORD, CT, 06105",Exact,US Census
St. Thomas Seminary,"467 Bloomfield Ave, Bloomfield CT 06002",41.80829,-72.73107,"467 BLOOMFIELD AVE, BLOOMFIELD, CT, 06002",Exact,US Census
University of Connecticut-Hartford,"14 Prospect St, Hartford CT 06103",41.764084,-72.67228,"14 PROSPECT ST, HARTFORD, CT, 06103",Exact,US Census
Central Connecticut State University,"1615 Stanley St, New Britain CT 06050",41.689274,-72.77059,"1615 STANLEY ST, NEW BRITAIN, CT, 06053",Match,US Census
Goodwin College,"1 Riverside Drive, East Hartford CT 06118",41.75012,-72.64288,"1 RIVERSIDE DR, EAST HARTFORD, CT, 06118",Match,US Census
Manchester Community College,"Great Path, Manchester CT 06040",41.7622906,-72.5670043,"Great Path, Manchester, CT 06040, USA",Match,Google
University of St. Joseph,"1678 Asylum Ave, West Hartford CT 06117",41.77874,-72.72987,"1678 ASYLUM AVE, WEST HARTFORD, CT, 06117",Exact,US Census
Address in Turin,"Via Michele Lessona, 32-40, Torino, 10145",45.0833518,7.6462327,"Via Michele Lessona, 32, 10145 Torino TO, Italy",Match,Google
Address in London,"107-129 Regency St, London",51.4910572,-0.1321919,"107 Regency St, Westminster, London SW1V, UK",Match,Google
Demo_PSCL,brozolo,45.1126174,8.0747166,"10020 Brozolo, Metropolitan City of Turin, Italy",Match,Google
Demo_PSCL,GRUGLIASCO,45.0563863,7.5943754,"10095 Grugliasco, Metropolitan City of Turin, Italy",Match,Google
Demo_PSCL,GRUGLIASCO,45.0563863,7.5943754,"10095 Grugliasco, Metropolitan City of Turin, Italy",Match,Google
Demo_PSCL,Santena,44.9500682,7.773334,"10026 Santena, Metropolitan City of Turin, Italy",Match,Google
Demo_PSCL,torino,45.0703393,7.686864,"Turin, Metropolitan City of Turin, Italy",Match,Google
Demo_PSCL,torino,45.0703393,7.686864,"Turin, Metropolitan City of Turin, Italy",Match,Google
Demo_PSCL,torino,45.0703393,7.686864,"Turin, Metropolitan City of Turin, Italy",Match,Google
Demo_PSCL,torino,45.0703393,7.686864,"Turin, Metropolitan City of Turin, Italy",Match,Google
Demo_PSCL,torino,45.0703393,7.686864,"Turin, Metropolitan City of Turin, Italy",Match,Google
Demo_PSCL,"Asti, Valfenera (AT)",44.9030261,7.9674172,"14017 Valfenera, Province of Asti, Italy",Match,Google
Demo_PSCL,Caselle Torinese,45.1842302,7.6509234,"10072 Caselle Torinese, Metropolitan City of Turin, Italy",Match,Google
